date,QQQ,AAOI,ACHR,ADBE,ALM,AMAT,AMZN,APLD,APP,ASML,ASTS,AVAV,AVGO,BE,CEG,COIN,CRCL,CRDO,CRML,CRWV,CVNA,FIGR,FSLR,FSLY,GEV,GLD,GOOGL,HOOD,IONQ,IREN,JOBY,KTOS,LITE,LLY,LRCX,META,MOD,MP,MRVL,MU,NBIS,NEE,NFLX,NKE,NOK,NVDA,NVT,NXT,OKLO,ORCL,PL,PLTR,QBTS,QCOM,RDW,RKLB,SLV,TSLA,TSM,USAR,USO,VIAV,VRT,VST
2020-01-02,208.08888245,12.50000000,,334.42999268,0.72899997,58.56396103,94.90049744,,,285.53155518,9.86999989,62.97000122,27.63376045,7.88000011,,,,,,,19.38999939,,57.24000168,21.50000000,,143.94999695,67.78894043,,,,,18.42000008,82.69999695,122.40672302,27.69622040,207.95382690,7.78000021,,26.62793350,54.01284409,,50.33599472,32.98099899,91.84677887,3.47630739,5.96380234,22.94219208,,,48.97917938,,,,76.45104218,,,16.80999947,28.68400002,53.50326920,,102.48000336,15.31000042,11.16064358,19.87599564
2020-01-03,206.18278503,12.11999989,,331.80999756,0.75375003,57.63181305,93.74849701,,,280.93032837,9.89000034,67.30999756,26.93088913,8.02999973,,,,,,,18.54999924,,57.02000046,21.76000023,,145.86000061,67.43430328,,,,,20.42000008,81.90000153,121.99933624,27.39870453,206.85351562,7.59999990,,25.93744278,53.17423630,,50.69459915,32.59000015,91.59513092,3.42241120,5.86834621,22.65010071,,,48.80668640,,,,75.01148987,,,16.84000015,29.53400040,51.73884964,,105.44000244,15.06999969,11.18053722,20.08485985
2020-01-06,207.51129150,12.14999962,,333.70999146,0.78974998,56.38898087,95.14399719,,,278.69567871,9.89000034,66.73000336,26.89060593,8.06999969,,,,,,,18.46800041,,55.83000183,21.86000061,,147.38999939,69.23171234,,,,,20.20000076,80.58999634,122.45300293,26.88733864,210.74932861,7.48999977,,24.97462845,52.23810196,,50.94772339,33.58300018,91.51426697,3.53918648,5.89295721,22.48192978,,,49.06088638,,,,74.57186127,,,16.94000053,30.10266685,51.14178085,,105.27999878,14.97999954,11.26011467,19.74546623
2020-01-07,207.48243713,12.43000031,,333.39001465,0.78974998,58.01785660,95.34300232,,,281.72232056,9.92000008,68.38999939,26.79803658,8.18000031,,,,,,,18.18199921,,56.66999817,21.39999962,,147.97000122,69.09798431,,,,,20.26000023,81.97000122,122.68444061,27.54281235,211.20529175,7.44999981,,25.52897835,56.82123947,,50.90343475,33.07500076,91.46932983,3.54816937,5.96430063,22.54388618,,,49.16983414,,,,76.69239807,,,17.17000008,31.27066612,51.97053528,,105.04000092,15.27000046,11.34963799,19.86729813
2020-01-08,209.04188538,12.69999981,,337.86999512,0.78974998,57.98019791,94.59850311,,,284.64526367,9.92000008,68.55999756,26.46374512,8.47000027,,,,,,,17.82600021,,56.70000076,21.79000092,,146.86000061,69.58980560,,,,,19.89999962,82.95999908,123.79549408,27.88960838,213.34649658,7.46000004,,25.33447075,56.08988953,,50.88022614,33.92599869,91.26264191,3.61104846,5.97548723,22.58814240,,,49.36133575,,,,76.46827698,,,16.93000031,32.80933380,52.35371399,,101.27999878,15.55000019,11.38942528,20.12836647
2020-01-09,210.81320190,13.06000042,,340.45001221,0.78750002,58.34739304,95.05249786,,,284.16442871,9.92000008,69.70999908,26.25117302,8.65999985,,,,,,,17.31399918,,56.70000076,21.61000061,,146.02999878,70.32035065,,,,,20.07999992,81.50000000,125.84156799,27.69993591,216.39967346,7.40000010,,25.38309479,55.88510513,,51.27892685,33.56600189,91.19974518,3.60206580,6.04111338,22.86253166,,,49.58931732,,,,77.50268555,,,16.71999931,32.08933258,52.78145981,,99.91999817,15.34000015,11.68783855,19.89340401
2020-01-10,210.27412415,12.93000031,,339.80999756,0.76725000,57.87664032,94.15799713,,,279.26147461,9.89999962,69.62999725,25.64773750,9.13000011,,,,,,,17.52199936,,56.50000000,21.22999954,,146.91000366,70.77452850,,,,,19.71999931,80.19000244,127.76736450,27.36615753,216.16175842,7.15000010,,25.77210617,55.26102448,,51.37595367,32.90499878,90.67848969,3.61104846,6.07342863,22.70320892,,,49.65314484,,,,77.80438232,,,16.88999939,31.87666702,52.45174408,,99.27999878,15.11999989,11.60826206,19.80637550
2020-01-13,212.70001221,13.53999996,,345.63000488,0.73124999,58.19675827,94.56500244,,,284.23037720,9.89999962,70.87999725,25.81573677,9.06000042,,,,,,,18.57399940,,57.43999863,22.14999962,,145.82000732,71.32281494,,,,,19.71999931,80.59999847,128.63764954,27.64043427,219.97825623,7.40999985,,26.76409721,56.02163315,,51.97715378,33.89199829,91.81086731,3.64697886,6.26384544,22.63239861,,,49.77167892,,,,78.41641235,,,16.78000069,34.99066544,53.52108765,,97.59999847,15.19999981,11.60826206,19.60622597
2020-01-14,211.86250305,13.85999966,,344.63000488,0.73124999,58.70518875,93.47200012,,,285.26751709,9.93999958,71.75000000,26.41574478,9.47000027,,,,,,,17.20400047,,58.77999878,22.04999924,,145.69000244,70.85527039,,,,,19.63999939,79.68000031,130.22084045,27.96305847,217.15307617,7.40000010,,26.75436401,56.08988953,,52.25771713,33.86899948,92.49383545,3.60206580,6.14701080,22.51733589,,,50.04525757,,,,78.06297302,,,16.62000084,35.86133194,53.75278091,,98.23999786,15.17000008,11.63810253,19.72805595
2020-01-15,211.94918823,15.60000038,,342.94000244,0.73124999,58.30973434,93.10099792,,,282.93856812,9.93999958,70.50000000,25.98373795,9.75000000,,,,,,,17.35400009,,54.75000000,22.76000023,,146.53999329,71.28170776,,,,,19.22999954,75.88999939,130.64678955,27.73805428,219.22485352,7.42000008,,25.98606491,54.77344894,,53.06985474,33.90700150,92.37702942,3.64697886,6.10450220,22.40226555,,,49.93583298,,,,77.29578400,,,16.80999947,34.56666565,52.03291321,,97.44000244,15.68999958,11.64805031,19.78027344
2020-01-16,213.98033142,14.34500027,,345.38000488,0.73124999,59.51491547,93.89700317,,,283.88159180,9.94999981,71.51000214,26.31888390,9.27999973,,,,,,,17.44199944,,53.93000031,24.07999992,,146.30999756,71.82453918,,,,,19.50000000,77.75000000,130.94300842,28.44559860,219.83946228,7.57999992,,27.47403717,56.24591446,,53.21540833,33.86199951,92.89828491,3.77273703,6.18802834,22.75631142,,,50.54681015,,,,79.12325287,,,16.77000046,34.23266602,52.35371399,,98.31999969,15.88000011,11.60826206,20.18927765
2020-01-17,215.03929138,14.11999989,,349.73999023,0.73124999,59.17595291,93.23600006,,,282.90093994,9.94999981,70.83999634,26.46802711,9.71000004,,,,,,,16.79999924,,53.52000046,24.40999985,,146.58000183,73.27868652,,,,,19.73999977,76.95999908,129.23022461,28.63619232,220.20623779,7.65000010,,27.70745087,56.22640228,,53.45376587,33.96699905,93.94076538,3.71884036,6.19672728,22.63239861,,,50.27324295,,,,82.67473602,,,16.81999969,34.03333282,52.20222855,,98.63999939,15.68000031,11.33969021,19.96302032
2020-01-21,214.94302368,13.69999981,,350.00000000,0.81900001,59.50549698,94.59999847,,,281.35452271,9.97999954,69.51999664,26.40631676,9.14000034,,,,,,,16.70599937,,51.54999924,24.44000053,,146.74000549,73.41392517,,,,,18.79999924,78.08000183,130.46160889,28.69941521,219.51235962,7.55000019,,26.75436401,57.50383377,,54.18997955,33.81100082,93.98568726,3.70985842,6.16341591,22.52618790,,,50.35530472,,,,81.49375916,,,16.63999939,36.47999954,51.89923859,,97.91999817,15.72999954,11.43916130,19.76286888
