date,vix_close,tnx_close,irx_close,term_spread_10y_3m,hyg_lqd_ratio,qqq_momentum_12_1,qqq_drawdown_252,qqq_vol_ratio_20_60,risk_on_prob,neutral_prob,risk_off_prob,forecast_confidence,market_regime
2026-04-10,19.22999954,4.31699991,3.59299994,0.72399998,0.73223444,0.30871787,-0.03639872,1.20821105,0.99997193,0.00000015,0.00002792,0.99997193,risk_on
2026-04-13,19.12000084,4.29699993,3.60299993,0.69400001,0.73216566,0.34339331,-0.02643265,1.21059511,0.99685557,0.00016305,0.00298138,0.99685557,risk_on
2026-04-14,18.36000061,4.25600004,3.61199999,0.64400005,0.73195124,0.31127313,-0.00875557,1.21401318,0.99990722,0.00000088,0.00009190,0.99990722,risk_on
2026-04-15,18.17000008,4.28200006,3.61199999,0.67000008,0.73185371,0.31705501,0.00000000,1.21888113,0.99994955,0.00000035,0.00005009,0.99994955,risk_on
2026-04-16,17.94000053,4.30900002,3.60999990,0.69900012,0.73425933,0.32200884,0.00000000,1.20815173,0.99997822,0.00000010,0.00002168,0.99997822,risk_on
2026-04-17,17.47999954,4.24599981,3.59999990,0.64599991,0.73291531,0.34411007,0.00000000,1.21209378,0.99997625,0.00000011,0.00002364,0.99997625,risk_on
2026-04-20,18.87000084,4.25000000,3.59800005,0.65199995,0.73234575,0.34010368,-0.00317484,1.14186292,0.99996998,0.00000016,0.00002986,0.99996998,risk_on
2026-04-21,19.50000000,4.29199982,3.59800005,0.69399977,0.73323604,0.34871255,-0.00696611,1.14661376,0.99995873,0.00000026,0.00004101,0.99995873,risk_on
2026-04-22,18.92000008,4.29399967,3.59500003,0.69899964,0.73301767,0.32929752,0.00000000,1.12914517,0.99999689,0.00000001,0.00000310,0.99999689,risk_on
2026-04-23,19.30999947,4.32299995,3.59500003,0.72799993,0.73383862,0.29093351,-0.00563265,1.14937489,0.99998331,0.00000007,0.00001662,0.99998331,risk_on
2026-04-24,18.70999908,4.30999994,3.59299994,0.71700001,0.73430661,0.26386072,0.00000000,1.01488535,0.99999340,0.00000002,0.00000659,0.99999340,risk_on
