active,ticker,provider_symbol,display_name,asset_type,benchmark,import_status,rows_fetched,first_date,last_price_date,notes,error
True,QQQ,QQQ,Invesco QQQ Trust,etf,True,ok,1644,2020-01-02,2026-07-20,,
True,AAOI,AAOI,,equity,False,ok,1644,2020-01-02,2026-07-20,,
True,ACHR,ACHR,,,False,ok,1400,2020-12-18,2026-07-20,,
True,ADBE,ADBE,Adobe Inc.,equity,False,ok,1644,2020-01-02,2026-07-20,,
True,ALM,ALM,Almonty Industries Inc.,equity,False,ok,1644,2020-01-02,2026-07-20,,
True,AMAT,AMAT,,,False,ok,1644,2020-01-02,2026-07-20,,
True,AMZN,AMZN,,,False,ok,1644,2020-01-02,2026-07-20,,
True,APLD,APLD,,,False,ok,1069,2022-04-13,2026-07-20,,
True,APP,APP,AppLovin Corp.,equity,False,ok,1321,2021-04-15,2026-07-20,,
True,ASML,ASML,,,False,ok,1644,2020-01-02,2026-07-20,,
True,ASTS,ASTS,,,False,ok,1644,2020-01-02,2026-07-20,,
True,AVAV,AVAV,,,False,ok,1644,2020-01-02,2026-07-20,,
True,AVGO,AVGO,,,False,ok,1644,2020-01-02,2026-07-20,,
True,BE,BE,Bloom Energy Corporation,equity,False,ok,1644,2020-01-02,2026-07-20,,
True,CEG,CEG,,,False,ok,1128,2022-01-19,2026-07-20,,
True,COIN,COIN,,,False,ok,1322,2021-04-14,2026-07-20,,
True,CRCL,CRCL,,,False,ok,281,2025-06-05,2026-07-20,,
True,CRDO,CRDO,,,False,ok,1122,2022-01-27,2026-07-20,,
True,CRML,CRML,Critical Metals Corp.,equity,False,ok,1115,2022-02-07,2026-07-20,,
True,CRWV,CRWV,"CoreWeave, Inc.",equity,False,ok,328,2025-03-28,2026-07-20,,
True,CVNA,CVNA,Carvana Co.,equity,False,ok,1644,2020-01-02,2026-07-20,,
True,FIGR,FIGR,"FIGR, Inc.",equity,False,ok,214,2025-09-11,2026-07-20,,
True,FSLR,FSLR,"First Solar, Inc.",equity,False,ok,1644,2020-01-02,2026-07-20,,
True,FSLY,FSLY,"Fastly, Inc.",equity,False,ok,1644,2020-01-02,2026-07-20,,
True,GEV,GEV,GE Vernova Inc.,equity,False,ok,579,2024-03-27,2026-07-20,,
True,GLD,GLD,SPDR Gold Shares,etf,False,ok,1644,2020-01-02,2026-07-20,,
True,GOOGL,GOOGL,,,False,ok,1644,2020-01-02,2026-07-20,,
True,HOOD,HOOD,"Robinhood Markets, Inc.",equity,False,ok,1248,2021-07-29,2026-07-20,,
True,IONQ,IONQ,"IonQ, Inc.",equity,False,ok,1391,2021-01-04,2026-07-20,,
True,IREN,IREN,,,False,ok,1170,2021-11-17,2026-07-20,,
True,JOBY,JOBY,,,False,ok,1428,2020-11-09,2026-07-20,,
True,KTOS,KTOS,,,False,ok,1644,2020-01-02,2026-07-20,,
True,LITE,LITE,Lumentum Holdings Inc.,equity,False,ok,1644,2020-01-02,2026-07-20,,
True,LLY,LLY,Eli Lilly and Company,equity,False,ok,1644,2020-01-02,2026-07-20,,
True,LRCX,LRCX,,,False,ok,1644,2020-01-02,2026-07-20,,
True,META,META,"Meta Platforms, Inc.",equity,False,ok,1644,2020-01-02,2026-07-20,,
True,MOD,MOD,,,False,ok,1644,2020-01-02,2026-07-20,,
True,MP,MP,MP Materials Corp.,equity,False,ok,1526,2020-06-22,2026-07-20,,
True,MRVL,MRVL,"Marvell Technology, Inc.",equity,False,ok,1644,2020-01-02,2026-07-20,,
True,MU,MU,,,False,ok,1644,2020-01-02,2026-07-20,,
True,NBIS,NBIS,Nebius Group N.V.,equity,False,ok,436,2024-10-21,2026-07-20,,
True,NEE,NEE,,,False,ok,1644,2020-01-02,2026-07-20,,
True,NFLX,NFLX,"Netflix, Inc.",equity,False,ok,1644,2020-01-02,2026-07-20,,
True,NKE,NKE,"NIKE, Inc.",equity,False,ok,1644,2020-01-02,2026-07-20,,
True,NOK,NOK,Nokia Oyj,equity,False,ok,1644,2020-01-02,2026-07-20,,
True,NVDA,NVDA,,,False,ok,1644,2020-01-02,2026-07-20,,
True,NVT,NVT,nVent Electric plc,equity,False,ok,1644,2020-01-02,2026-07-20,,
True,NXT,NXT,Nextracker Inc.,equity,False,ok,862,2023-02-09,2026-07-20,,
True,OKLO,OKLO,,,False,ok,1263,2021-07-08,2026-07-20,,
True,ORCL,ORCL,,,False,ok,1644,2020-01-02,2026-07-20,,
True,PL,PL,,equity,False,ok,1314,2021-04-26,2026-07-20,,
True,PLTR,PLTR,Palantir Technologies Inc.,equity,False,ok,1456,2020-09-30,2026-07-20,,
True,QBTS,QBTS,,,False,ok,1405,2020-12-11,2026-07-20,,
True,QCOM,QCOM,QUALCOMM Incorporated,equity,False,ok,1644,2020-01-02,2026-07-20,,
True,RDW,RDW,Redwire Corporation,equity,False,ok,1383,2021-01-14,2026-07-20,,
